Article,nazva,Year,ACC,TOTPROV,CONVIC,PROB,IMP,RESTOL,ARREST,CORRW,PUBLW,FINE,DEPR,LIFEIMP
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2013,13193,7506,1608,977,146,28,0,11,2,413,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2016,9787,3574,507,258,44,28,0,1,1,162,1,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2017,10756,4709,404,186,36,15,0,2,1,132,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2018,10713,5350,350,119,19,13,0,1,0,171,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2019,9074,3263,340,136,26,13,0,0,0,160,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2014,10397,4991,1346,684,98,34,3,3,0,330,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2021,11092,5170,259,146,33,24,0,2,1,52,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2022,6698,1904,201,122,26,14,0,3,1,33,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2020,11160,4679,276,116,22,22,0,0,3,111,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2024,7743,2890,163,121,26,5,0,0,1,4,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2015,10211,3697,962,500,64,22,0,1,0,299,0,0
191,"Стаття 191. Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",2023,9222,2849,163,95,38,8,1,0,2,19,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2022,3,0,0,0,0,0,0,0,0,0,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2021,17,2,1,0,0,0,0,0,0,1,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2023,12,0,0,0,0,0,0,0,0,0,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2020,16,1,0,0,0,0,0,0,0,0,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2015,24,1,0,0,0,0,0,0,0,0,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2019,23,0,1,0,0,0,0,0,0,1,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2013,48,9,5,3,0,0,0,0,0,2,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2014,34,1,1,0,0,0,0,0,0,1,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2016,15,0,0,0,0,0,0,0,0,0,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2018,18,3,1,0,0,0,0,0,0,1,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2024,12,2,0,0,0,0,0,0,0,0,0,0
210,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",2017,21,3,1,0,0,0,0,0,0,1,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2015,207,27,15,9,6,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2016,154,14,8,6,2,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2021,48,12,6,2,4,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2017,151,19,8,2,5,0,0,0,0,1,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2022,174,30,14,12,1,0,0,0,0,1,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2023,58,17,6,6,0,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2020,55,11,3,2,1,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2024,57,22,9,4,4,0,0,0,0,1,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2018,102,4,0,0,0,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2019,95,14,4,2,2,0,0,0,0,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2013,41,18,16,7,8,0,0,0,1,0,0,0
262,"Стаття 262. Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2014,445,34,12,8,4,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2013,31,23,34,18,16,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2019,28,18,7,2,5,0,0,0,0,0,0,0
308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",2021,356,268,6,2,4,0,0,0,0,0,0,0
