Year,ACC_307,ACC_309,TOTPROV_307,TOTPROV_309,CONVIC_307,CONVIC_309,PROB_307,PROB_309,IMP_307,IMP_309,RESTOL_307,RESTOL_309,ARREST_307,ARREST_309,CORRW_307,CORRW_309,PUBLW_307,PUBLW_309,FINE_307,FINE_309
2013,9430,18605,6164,15790,3363,12468,1044,5160,2230,2248,52,204,16,338,4,25,1,20,11,4450
2014,8412,16803,5583,13134,2277,9197,896,4253,1222,1275,38,90,7,197,3,12,3,11,13,3088
2015,6614,14890,4744,10550,1564,8119,541,3608,954,1153,25,85,7,216,2,16,1,9,8,2989
2016,2293,17398,634,9827,729,6997,237,2834,454,953,12,75,2,209,2,13,0,5,1,2880
2017,5029,20071,2425,13807,562,8997,171,3275,370,1072,10,83,0,191,1,9,0,6,2,4126
2018,5453,18022,2817,11733,571,8513,192,2820,358,905,5,54,1,162,1,13,0,9,4,4366
2019,6382,18623,3358,11448,522,7992,232,2518,278,792,3,45,2,144,1,7,0,6,2,4458
2020,8507,15874,4997,10006,559,8450,221,2952,314,717,7,178,6,174,0,6,0,8,5,4393
2021,10994,14109,6330,9594,585,7145,247,3948,313,527,5,484,3,385,0,39,0,5,5,1744
2022,10162,20140,6215,10965,558,6516,206,3429,333,422,5,462,1,328,0,18,0,7,7,1824
2023,14302,20155,9967,15610,798,10831,228,5282,544,624,7,583,2,560,2,9,0,7,10,3722
2024,17601,20627,11914,16175,933,10783,218,3736,675,702,13,494,0,180,2,8,2,4,10,4169
